taxonomy_type,common_term,xbrl_tag
general,total_assets,Assets
general,current_assets,CurrentAssets
general,total_liabilities,Liabilities
general,current_liabilities,CurrentLiabilities
general,total_equity,Equity
general,total_equity,EquityAttributableToEquityOwnersOfParentEntity
general,revenue,SalesAndRevenue
general,revenue,NetSales
general,revenue,Revenue
general,net_income,ProfitLoss
general,net_income,ProfitLossAttributableToParentEntity
general,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
general,operating_cash_flow,NetCashFlowsReceivedFromUsedInOperatingActivities
general,capital_expenditure,PaymentsForPropertyPlantAndEquipment
general,capital_expenditure,PaymentsForAcquisitionOfPropertyPlantAndEquipment
general,capital_expenditure,AdditionInPropertyPlantAndEquipment
general,outstanding_shares,NumberOfSharesOutstanding
banking,total_assets,Assets
banking,current_assets,CashAndCashEquivalents
banking,total_liabilities,Liabilities
banking,current_liabilities,DepositsFromCustomers
banking,total_equity,Equity
banking,total_equity,EquityAttributableToEquityOwnersOfParentEntity
banking,revenue,TotalInterestAndShariaIncome
banking,revenue,InterestIncome
banking,revenue,idx-cor:TotalOperatingIncome
banking,revenue,idx-cor:InterestAndFinanceIncome
banking,net_income,ProfitLoss
banking,net_income,ProfitLossAttributableToParentEntity
banking,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
banking,operating_cash_flow,NetCashFlowsReceivedFromUsedInOperatingActivities
banking,capital_expenditure,PaymentsForPropertyPlantAndEquipment
banking,outstanding_shares,NumberOfSharesOutstanding
insurance,total_assets,Assets
insurance,current_assets,CashAndCashEquivalents
insurance,total_liabilities,Liabilities
insurance,current_liabilities,CurrentLiabilities
insurance,total_equity,Equity
insurance,total_equity,EquityAttributableToEquityOwnersOfParentEntity
insurance,revenue,RevenueFromInsurancePremiums
insurance,revenue,SalesAndRevenue
insurance,net_income,ProfitLoss
insurance,net_income,ProfitLossAttributableToParentEntity
insurance,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
insurance,capital_expenditure,PaymentsForPropertyPlantAndEquipment
insurance,outstanding_shares,NumberOfSharesOutstanding
